Course,Time,Cap,Quarter,Expertise
507A,2000-2200,30,Winter,Software Engineering
507B,2000-2200,30,Winter,Software Engineering
508A,2000-2200,30,Spring,Software Engineering
508B,2000-2200,30,Spring,Software Engineering
590(10),1745-1945,30,Spring,Capstone
590(14),1745-1945,30,Autumn,Capstone
BCUSP161,845 -1045,45,Autumn,Programming
BCUSP161,845 -1045,45,Winter,Programming
BCUSP161,845 -1045,45,Spring,Programming
SKL161,1430-1700,30,Summer,Programming
SKL161A,845-1115,45,Autumn,Programming
SKL161A,845-1115,45,Winter,Programming
SKL161A,845-1115,45,Spring,Programming
SKL161B,1130-1400,45,Autumn,Programming
SKL161B,1130-1400,45,Winter,Programming
SKL161B,1130-1400,45,Spring,Programming
SKL161C,1130-1400,45,Winter,Programming
SKL161C,1745-2015,45,Spring,Programming
SKL162,1800-2030,30,Summer,Programming
SKL162A,1430-1700,45,Autumn,Programming
SKL162A,1415-1645,45,Winter,Programming
SKL162A,1415-1645,45,Spring,Programming
SKL162B,1530-1800,45,Autumn,Programming
SKL162B,1745-2015,45,Winter,Programming
SKL162B,1745-2015,45,Spring,Programming
SKL509,2000-2200,30,Autumn,Software Engineering
SKL509,2000-2200,10,Winter,Software Engineering
SKL509,2000-2200,10,Spring,Software Engineering
SKL510,2000-2200,10,Winter,Software Engineering
SKL510,2000-2200,10,Spring,Software Engineering
